ranking_date,rank,player,points
2022-01-03,5,104567,7200
2022-02-07,4,104567,7600
2022-03-14,3,104567,7800
2022-04-18,2,104567,8000
2022-05-23,1,104567,8400
2022-01-03,6,102999,6100
2022-02-07,7,102999,5900
2022-03-14,8,102999,5700
2022-04-18,10,102999,5400
2022-05-23,12,102999,5200
2022-01-03,12,103819,4200
2022-02-07,11,103819,4300
2022-03-14,10,103819,4400
2022-04-18,9,103819,4500
2022-05-23,8,103819,4600
2023-01-02,1,104567,9000
2023-02-06,1,104567,9100
2023-03-13,2,104567,8800
2023-04-17,3,104567,8500
2023-05-22,1,104567,9200
2023-01-02,15,102999,4800
2023-02-06,16,102999,4700
2023-03-13,18,102999,4500
2023-04-17,20,102999,4300
2023-05-22,22,102999,4100
2023-01-02,6,103819,5000
2023-02-06,7,103819,4900
2023-03-13,8,103819,4800
2023-04-17,9,103819,4700
2023-05-22,10,103819,4600
